1,Amazon,Negative,@amazon wtf . 
1,Amazon,Negative,@ amazon wtf.
1,Amazon,Negative,@ amazon wtf.
1,Amazon,Negative,@amazon wtf?
1,Amazon,Negative,7 @amazon wtf.
1,Amazon,Negative,<unk> wtf.
2,Amazon,Negative,"I’m really disappointed with amazon today! I ordered a kindle from lightning deal, but then the order was canceled due to payment issue! When i try to order it again, it says the deal is already claimed, which is so disappointing! @amazonIN @AmazonHelp"
2,Amazon,Negative,"I am really disappointed with Amazon today! I ordered a lightning deal, but then the order was cancelled due to payment difficulties! When I try to order it again, it says the deal has already been completed, which is so disappointing! @ amazonIN @ AmazonHelp"
2,Amazon,Negative,"I'm really disappointed with amazon today! I ordered a Kindle from lighting deal, but then the order was cancelled due to payment issue! When i try to order it again, it says the deal is already claimed, which is so disappointing! @ amazonIN @ AmazonHelp"
2,Amazon,Negative,"I’m extremely disappointed with amazon today! I ordered a kindle from lightning deal, and then the order was canceled leading to payment issue! When i try to order back again, it says the deal is already claimed, which is so disappointing! Thanks @amazonIN"
2,Amazon,Negative,"I mean ’ wa m really disappointed with amazon sale today! I ordered a fresh kindle from lightning deal, 2007 but then the order was automatically canceled due to bad payment issue! When about i try to order with it again, it says out the deal is already claimed, which is so disappointing! @amazonIN @AmazonHelp"
2,Amazon,Negative,"I’m really bad on amazon today! I ordered a kindle from lightning deal, but later the order was cancelled due to hardware issue! When i try to request email again, it says the delivery is already claimed, which am so disappointing! @amazonIN @AmazonHelp"
3,Amazon,Neutral,"Admit it subs, you leak over the thought of a cheeky hot lad spending your cash. Don’t you? . . . Send it forward - £wokebored. . DM me for my Amazon list . . .  "
3,Amazon,Neutral,"Admit it, subs, you're leaking the thought of a cheeky chap spending your money, aren't you?... Send it on - £wokebored... DM for my Amazon list..."
3,Amazon,Neutral,"Admit it, you're skipping past the thought of a boring hot guy spending his money. Don't you?... Send it forward - and I'm for my Amazon list..."
3,Amazon,Neutral,"Admit it subs, you leak imagine the thought of a tall hot lad spending your cash. Can you?... Send me forward - £wokebored.. DM me for my Amazon list..."
3,Amazon,Neutral,"Admit all it subs, you leak out over the innocent thought... of a cheeky hot lad finally spending your cash. The Don ’ t who you?... 9 Send it immediately forward - £wokebored.. DM me for my free Amazon list..."
3,Amazon,Neutral,"Admit it subs, crack leak at the top above a pretty hot lad taking your cash. My mind?... Send one forward - £wokebored.. DM me for my Amazon list..."
4,Amazon,Negative,@amazon probably some of the worst customer service I’ve had to deal with lately
4,Amazon,Negative,@ amazon probably the worst customer service I've had to deal with lately
4,Amazon,Negative,@ amazon is probably one of the worst customer services I've had to deal with lately
4,Amazon,Negative,@amazon probably some of the strongest customer service I’ve had to deal with lately
4,Amazon,Negative,@amazon probably some of the worst customer computer service I ’ ve had you to properly deal with lately
4,Amazon,Negative,@amazon has some of the worst internet service I’ve had to deal with lately
5,Amazon,Irrelevant,"I've purchased 10 times on her site, 2 times on iTunes, 3 times on amazon, and 2 times on google play. So can ya'll stop dragging US? . . Literally US smilers are trying hard af.. We can't help it if general public hates her.... PLZ https://t.co/8SNIHXoHvU"
5,Amazon,Irrelevant,"I have bought 10 times on their site, 2 times on iTunes, 3 times on Amazon and 2 times on google play. So can you stop abducting the US?. Literally US smileys go to great lengths. We can't help if the public hates them.... ZIP code https: / / t.co / 8SNIHXoHvU"
5,Amazon,Irrelevant,"I've purchased 10 times on her site, 2 times on iTunes, 3 times on Amazon, and 2 times on google play. So can ya'll stop drag US?... Literally US smiles are hard af.. We can't help it if general public hate her.... PLZ https: / / PLZ / 8SNIHXoHvU"
5,Amazon,Irrelevant,"I've purchased 10 times into her site, 2 times on iTunes, 3 times on Twitter, and 2 times using google earth. Then why ya'll stop dragging US?.. Literally US smilers are trying hard af.. We can't help it if general public hates her.... PLZ https://t.co/8SNIHXoHvU]"
5,Amazon,Irrelevant,"Now I've just purchased 10 times on her site, distributed 2 times on iTunes, received 3 times on amazon, and even 2 times on a google play. So if can ya'll stop dragging US?.. Literally US smilers are not trying hard af.. We can'T t help it if is general public hates her.... PLZ https://t.co/8SNIHXoHvU ]"
5,Amazon,Irrelevant,"you've purchased 10 times over her site, 2 times on comments, 3 times on amazon, and 2 times on google here. So can ya'll stop it US?.. Literally US smilers are trying to af.. She can't help it with general world thinks her.... PLZ https://t.co/8SNIHXoHvU]"
6,Amazon,Neutral,Love Speculative Fiction?  
6,Amazon,Neutral,Love speculative fiction?
6,Amazon,Neutral,Do you like fiction?
6,Amazon,Neutral,Love for Fiction?
6,Amazon,Neutral,Love Speculative Gothic Fiction?
6,Amazon,Neutral,Love Science Fiction?
7,Amazon,Neutral,Amazon I Israel. . carlnorberg.se/2019/05/01/ama… https://t.co/f89X9QaLah
7,Amazon,Neutral,Amazon I Israel.. carlnorberg.se / 2019 / 05 / 01 / ama... https: / / t.co / f89X9QaLah
7,Amazon,Neutral,Amazon I Israel.. carlnor.se / 2019 / 05 / 01 / ama... https: / / www.co / f89X9QaLah
7,Amazon,Neutral,Amazon I Israel.. Amazon.se/2019/05/01/ama…<unk>]
7,Amazon,Neutral,Amazon I visited Israel.. from carlnorberg. care se / web 2019 / 05 / 01 / ama …... https://t.co/f89X9QaLah ]
7,Amazon,Neutral,Amazon website of.. by.se/2019/05/01/ama... []
8,Amazon,Negative,Amazon be having a nigga fucked up
8,Amazon,Negative,Amazon getting fucked with a ebony
8,Amazon,Negative,Amazon Be Having a Nigga Fucked Up
8,Amazon,Negative,Amazon be having a nigga shake up
8,Amazon,Negative,Amazon be having a nigga fucked everything up
8,Amazon,Negative,Amazon be having a nigga bust up
9,Amazon,Negative,So...I'm @amazon prime videos version of  
9,Amazon,Negative,So... I'm @ amazon Prime video version of
9,Amazon,Negative,So... I'm @ amazon prime video version
9,Amazon,Negative,So...I'm @amazon for videos version of
